sys_id,task,task_sys_id,table,ci_item,ci_sys_id,relationship_type,sys_created_on,sys_updated_on,vendor,product,vendor_product,dvc,instance,cim_data_model,cim_dataset,tag,action,change_type,object,object_id,object_category,object_type,result,result_id,status,user,src_user,dest,dest_name,ticket_id,ticket_type,task_table
be4b95fbacfbccf0b011aaaccc791d1b,INC0010001,e422f751d7be2274fda15b362d9e7df2,incident,vpn-gw-01,edb61dbbc54f635f96974ee013a83cfd,Affected CI,2026-05-23 12:29:57,2026-07-10 00:05:15,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,relationship,vpn-gw-01,edb61dbbc54f635f96974ee013a83cfd,Affected CI,incident,Affected CI,INC0010001,success,servicenow,servicenow,vpn-gw-01,vpn-gw-01,INC0010001,incident,incident
2749b6eb13303b19daf65b1eb810df5e,INC0010002,e578e071f54927640b31224fa7cf0660,incident,edr-mgmt-01,42f24baa0bd2fa27132af710260f93dc,Affected CI,2026-05-14 04:06:05,2026-06-30 07:49:04,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,relationship,edr-mgmt-01,42f24baa0bd2fa27132af710260f93dc,Affected CI,incident,Affected CI,INC0010002,success,servicenow,servicenow,edr-mgmt-01,edr-mgmt-01,INC0010002,incident,incident
c8859f6d5ce4ebc6313625d489964595,INC0010002,e578e071f54927640b31224fa7cf0660,incident,dw-etl-01,63917d58f9aa5a1ed5a9470f082986c6,Related CI,2026-06-07 10:33:04,2026-07-05 05:16:34,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,relationship,dw-etl-01,63917d58f9aa5a1ed5a9470f082986c6,Related CI,incident,Related CI,INC0010002,success,servicenow,servicenow,dw-etl-01,dw-etl-01,INC0010002,incident,incident
0e9e1c7679076b0089610c4880630f2c,INC0010003,00d3e9528c5ac196c7df0736f4cd6506,incident,prd-sql-pay-01,b46f6537e400dc13f571a44c9b215ef0,Affected CI,2026-07-01 18:12:35,2026-07-07 18:32:02,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,relationship,prd-sql-pay-01,b46f6537e400dc13f571a44c9b215ef0,Affected CI,incident,Affected CI,INC0010003,success,servicenow,servicenow,prd-sql-pay-01,prd-sql-pay-01,INC0010003,incident,incident
7d1ae3d61aa180c37dbb4ab622688d28,INC0010004,20ba109edd57c908925c93d2f8eef5eb,incident,waf-edge-02,845afaca9bb03648b7986a5f0c89b163,Affected CI,2026-06-11 16:44:18,2026-06-15 16:47:22,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,relationship,waf-edge-02,845afaca9bb03648b7986a5f0c89b163,Affected CI,incident,Affected CI,INC0010004,success,servicenow,servicenow,waf-edge-02,waf-edge-02,INC0010004,incident,incident
0c96d69624e44659c9ea1d873b67f091,INC0010005,64a07482594016a22976b739bbc5945d,incident,dw-etl-01,63917d58f9aa5a1ed5a9470f082986c6,Affected CI,2026-07-06 15:07:36,2026-06-28 03:22:34,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,relationship,dw-etl-01,63917d58f9aa5a1ed5a9470f082986c6,Affected CI,incident,Affected CI,INC0010005,success,servicenow,servicenow,dw-etl-01,dw-etl-01,INC0010005,incident,incident
6c517303905d56def34118920fa6c38c,INC0010005,64a07482594016a22976b739bbc5945d,incident,node-claims-p-18,1fa62e7b602dfae96943c96a0d57e23e,Related CI,2026-06-12 01:34:22,2026-07-04 07:40:26,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,relationship,node-claims-p-18,1fa62e7b602dfae96943c96a0d57e23e,Related CI,incident,Related CI,INC0010005,success,servicenow,servicenow,node-claims-p-18,node-claims-p-18,INC0010005,incident,incident
385f1702ed89d328b74cf05619081cc3,INC0010006,7992d9cb530ecca24110ab153f7592e0,incident,idp-prd-01,46c3c0bb7f6c8c28c4507ffb8fd5c53b,Affected CI,2026-04-15 18:42:45,2026-07-01 22:47:01,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,relationship,idp-prd-01,46c3c0bb7f6c8c28c4507ffb8fd5c53b,Affected CI,incident,Affected CI,INC0010006,success,servicenow,servicenow,idp-prd-01,idp-prd-01,INC0010006,incident,incident
a85e3b59bbb82d4054379b74ebb353af,INC0010006,7992d9cb530ecca24110ab153f7592e0,incident,app-data-war-22,8063ba03b3abb3947ffd7697f2f18f65,Related CI,2026-05-25 14:32:26,2026-07-05 22:54:35,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,relationship,app-data-war-22,8063ba03b3abb3947ffd7697f2f18f65,Related CI,incident,Related CI,INC0010006,success,servicenow,servicenow,app-data-war-22,app-data-war-22,INC0010006,incident,incident
0b8ba3940f2ef3420dde836ed20d303a,INC0010007,0d1e4e8e6821b8bc1996516dc10d608e,incident,lt-erp-fina-06,64ed079b57c5ed2020d0ec2042650e54,Affected CI,2026-07-13 22:08:31,2026-07-01 22:29:20,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,relationship,lt-erp-fina-06,64ed079b57c5ed2020d0ec2042650e54,Affected CI,incident,Affected CI,INC0010007,success,servicenow,servicenow,lt-erp-fina-06,lt-erp-fina-06,INC0010007,incident,incident
