sys_id,name,fqdn,ip_address,mac_address,asset_tag,serial_number,sys_class_name,install_status,operational_status,environment,business_service,support_group,owned_by,managed_by,location,os,manufacturer,model_id,u_criticality,u_contains_pii,u_pci_scope,u_edr_status,u_backup_tier,tags,sys_created_on,sys_updated_on,vendor,product,vendor_product,dvc,instance,cim_data_model,cim_dataset,tag,dest,dest_name,dest_host,dest_ip,ip,dns,nt_host,mac,owner,description,status
edb61dbbc54f635f96974ee013a83cfd,vpn-gw-01,vpn-gw-01.corp.northwind.example,10.20.1.10,02:42:01:a9:55:a5,NW-100001,SN47460153,cmdb_ci_netgear,Installed,Operational,prod,Corporate VPN,Network Operations,Drew Walker,Jamie Walker,London - Regional Office,Cisco IOS XE 17,HPE,EC2 m7i.large,3 - medium,false,false,Healthy,none,"corporate_vpn,network_operations,prod",2024-02-03 21:45:48,2026-06-20 08:05:12,HPE,EC2 m7i.large,HPE EC2 m7i.large,synthetic-servicenow,synthetic-demo,Inventory,All_Inventory,inventory,vpn-gw-01,vpn-gw-01,vpn-gw-01,10.20.1.10,10.20.1.10,vpn-gw-01.corp.northwind.example,vpn-gw-01,02:42:01:a9:55:a5,Drew Walker,Corporate VPN cmdb_ci_netgear,operational
c5d306ddb70d59c95854994593f6c8e0,vpn-gw-02,vpn-gw-02.corp.northwind.example,10.20.1.11,02:42:02:aa:9d:e5,NW-100002,SN97202920,cmdb_ci_netgear,Retired,Operational,prod,Corporate VPN,Network Operations,Hayden Evans,Reese Hughes,Singapore - Regional Office,Cisco IOS XE 17,Dell,CSR1000v,2 - high,false,false,Healthy,bronze,"corporate_vpn,network_operations,prod",2024-03-29 09:13:17,2026-04-27 05:58:36,Dell,CSR1000v,Dell CSR1000v,synthetic-servicenow,synthetic-demo,Inventory,All_Inventory,inventory,vpn-gw-02,vpn-gw-02,vpn-gw-02,10.20.1.11,10.20.1.11,vpn-gw-02.corp.northwind.example,vpn-gw-02,02:42:02:aa:9d:e5,Hayden Evans,Corporate VPN cmdb_ci_netgear,operational
46c3c0bb7f6c8c28c4507ffb8fd5c53b,idp-prd-01,idp-prd-01.corp.northwind.example,10.30.4.20,02:42:03:27:f2:85,NW-100003,SN39584305,cmdb_ci_appl,Installed,Operational,prod,Customer Identity,Identity and Access,Parker Patel,Kai Vasquez,Dallas - SOC,Red Hat Enterprise Linux 9,Dell,EC2 m7i.large,2 - high,true,false,Healthy,silver,"customer_identity,identity_and_access,prod",2024-06-21 22:41:57,2026-05-31 21:06:37,Dell,EC2 m7i.large,Dell EC2 m7i.large,synthetic-servicenow,synthetic-demo,Inventory,All_Inventory,inventory,idp-prd-01,idp-prd-01,idp-prd-01,10.30.4.20,10.30.4.20,idp-prd-01.corp.northwind.example,idp-prd-01,02:42:03:27:f2:85,Parker Patel,Customer Identity cmdb_ci_appl,operational
42f24baa0bd2fa27132af710260f93dc,edr-mgmt-01,edr-mgmt-01.corp.northwind.example,10.25.7.15,02:42:04:9d:59:4f,NW-100004,SN97907671,cmdb_ci_server,Installed,Non-Operational,dev,Security Monitoring,Endpoint Engineering,Parker Garcia,Parker Morris,Singapore - Regional Office,Windows Server 2022,Lenovo,ThinkPad T14,3 - medium,false,false,Healthy,none,"dev,endpoint_engineering,security_monitoring",2024-01-12 21:51:52,2026-06-09 05:08:24,Lenovo,ThinkPad T14,Lenovo ThinkPad T14,synthetic-servicenow,synthetic-demo,Inventory,All_Inventory,inventory,edr-mgmt-01,edr-mgmt-01,edr-mgmt-01,10.25.7.15,10.25.7.15,edr-mgmt-01.corp.northwind.example,edr-mgmt-01,02:42:04:9d:59:4f,Parker Garcia,Security Monitoring cmdb_ci_server,non-operational
4503e1a3412af6383866d9ce54e99239,siem-hf-01,siem-hf-01.corp.northwind.example,10.25.8.21,02:42:05:6c:71:16,NW-100005,SN60241134,cmdb_ci_linux_server,Retired,Operational,lab,Security Monitoring,Security Operations,Jordan Singh,Parker Morris,Dallas - SOC,Ubuntu Server 22.04 LTS,Lenovo,EC2 m7i.large,2 - high,false,false,Healthy,bronze,"lab,security_monitoring,security_operations",2025-01-07 17:36:20,2026-05-16 06:20:12,Lenovo,EC2 m7i.large,Lenovo EC2 m7i.large,synthetic-servicenow,synthetic-demo,Inventory,All_Inventory,inventory,siem-hf-01,siem-hf-01,siem-hf-01,10.25.8.21,10.25.8.21,siem-hf-01.corp.northwind.example,siem-hf-01,02:42:05:6c:71:16,Jordan Singh,Security Monitoring cmdb_ci_linux_server,operational
845afaca9bb03648b7986a5f0c89b163,waf-edge-02,waf-edge-02.corp.northwind.example,10.20.2.32,02:42:06:a7:1c:04,NW-100006,SN80032464,cmdb_ci_netgear,Installed,Operational,prod,Online Banking,Network Operations,SOC Automation,Jamie Ortiz,Remote,Cisco IOS XE 17,Cisco,EC2 m7i.large,3 - medium,true,false,Sensor Offline,silver,"network_operations,online_banking,prod",2024-12-04 08:27:58,2026-06-05 17:50:48,Cisco,EC2 m7i.large,Cisco EC2 m7i.large,synthetic-servicenow,synthetic-demo,Inventory,All_Inventory,inventory,waf-edge-02,waf-edge-02,waf-edge-02,10.20.2.32,10.20.2.32,waf-edge-02.corp.northwind.example,waf-edge-02,02:42:06:a7:1c:04,SOC Automation,Online Banking cmdb_ci_netgear,operational
c118c7987f3ec387e7c8de061db00801,prd-pay-api-01,prd-pay-api-01.corp.northwind.example,10.40.11.50,02:42:07:3c:7d:23,NW-100007,SN16978535,cmdb_ci_appl,In Maintenance,Operational,prod,Payments API,Application Support,Kai Ortiz,Casey Ibrahim,New York - HQ,Amazon Linux 2023,Lenovo,ThinkPad T14,4 - low,false,true,Healthy,gold,"application_support,payments_api,prod",2024-05-28 23:10:21,2026-06-10 07:33:48,Lenovo,ThinkPad T14,Lenovo ThinkPad T14,synthetic-servicenow,synthetic-demo,Inventory,All_Inventory,inventory,prd-pay-api-01,prd-pay-api-01,prd-pay-api-01,10.40.11.50,10.40.11.50,prd-pay-api-01.corp.northwind.example,prd-pay-api-01,02:42:07:3c:7d:23,Kai Ortiz,Payments API cmdb_ci_appl,operational
6f88d5919c6abcfd31a28213f67e3650,prd-pay-api-02,prd-pay-api-02.corp.northwind.example,10.40.11.51,02:42:08:89:26:e2,NW-100008,SN17155662,cmdb_ci_appl,Installed,Operational,dev,Payments API,Application Support,Morgan Singh,Kai Ortiz,New York - HQ,Amazon Linux 2023,Cisco,ThinkPad T14,2 - high,false,true,Healthy,none,"application_support,dev,payments_api",2024-10-10 05:33:38,2026-05-11 15:17:58,Cisco,ThinkPad T14,Cisco ThinkPad T14,synthetic-servicenow,synthetic-demo,Inventory,All_Inventory,inventory,prd-pay-api-02,prd-pay-api-02,prd-pay-api-02,10.40.11.51,10.40.11.51,prd-pay-api-02.corp.northwind.example,prd-pay-api-02,02:42:08:89:26:e2,Morgan Singh,Payments API cmdb_ci_appl,operational
b46f6537e400dc13f571a44c9b215ef0,prd-sql-pay-01,prd-sql-pay-01.corp.northwind.example,10.40.30.80,02:42:09:b8:52:1c,NW-100009,SN95637664,cmdb_ci_database,Installed,Operational,lab,Card Processing,Database Services,Jordan Ortiz,Hayden Ortiz,Singapore - Regional Office,Microsoft SQL Server 2022,Microsoft,ProLiant DL360,3 - medium,false,true,Healthy,silver,"card_processing,database_services,lab",2024-08-24 02:12:50,2026-06-13 12:13:50,Microsoft,ProLiant DL360,Microsoft ProLiant DL360,synthetic-servicenow,synthetic-demo,Inventory,All_Inventory,inventory,prd-sql-pay-01,prd-sql-pay-01,prd-sql-pay-01,10.40.30.80,10.40.30.80,prd-sql-pay-01.corp.northwind.example,prd-sql-pay-01,02:42:09:b8:52:1c,Jordan Ortiz,Card Processing cmdb_ci_database,operational
a0dfc1835a7503b94937e93261c33728,prd-sql-pay-02,prd-sql-pay-02.corp.northwind.example,10.40.30.81,02:42:0a:0c:0b:ac,NW-100010,SN37166403,cmdb_ci_database,Installed,Operational,prod,Card Processing,Database Services,Casey Ortiz,Kai Lewis,New York - HQ,Microsoft SQL Server 2022,Lenovo,CSR1000v,3 - medium,false,true,Healthy,gold,"card_processing,database_services,prod",2025-07-14 09:15:24,2026-04-23 20:03:51,Lenovo,CSR1000v,Lenovo CSR1000v,synthetic-servicenow,synthetic-demo,Inventory,All_Inventory,inventory,prd-sql-pay-02,prd-sql-pay-02,prd-sql-pay-02,10.40.30.81,10.40.30.81,prd-sql-pay-02.corp.northwind.example,prd-sql-pay-02,02:42:0a:0c:0b:ac,Casey Ortiz,Card Processing cmdb_ci_database,operational
