sys_id,number,type,state,approval,risk,impact,priority,category,assignment_group,assigned_to,requested_by,opened_by,business_service,cmdb_ci,short_description,description,justification,implementation_plan,backout_plan,test_plan,start_date,end_date,work_start,work_end,close_code,close_notes,u_environment,u_splunk_notable_event_id,u_splunk_correlation_search,sys_created_on,opened_at,sys_updated_on,vendor,product,vendor_product,dvc,instance,cim_data_model,cim_dataset,tag,action,change_type,object,object_id,object_category,object_type,object_attrs,result,result_id,status,user,src_user,dest,dest_name,severity,ticket_id,ticket_type,ticket_status
ec51bbaf357423b6aed26c9843beef6a,CHG0030001,Emergency,Closed,Approved,High,2 - Medium,2 - Medium,Security,Threat Response,Rowan Diaz,Rowan Diaz,Rowan Diaz,Corporate VPN,job-corporat-29,Block malicious VPN source ranges after credential stuffing detection,Threat Response approved emergency controls for repeated failed VPN authentication from high-risk networks.,Demo change record created to support Splunk Enterprise Security storytelling.,"Validate pre-checks, implement approved change, monitor service health, and document results.",Restore previous configuration or package version and notify the service owner.,"Confirm service availability, authentication flow, and alert telemetry after implementation.",2026-05-15 22:00:00,2026-05-16 00:00:00,2026-05-15 22:00:00,2026-05-16 00:00:00,Successful,Change completed and monitoring returned to normal.,prod,NE-2026-05-18-0007,ESCU - Excessive VPN Authentication Failures,2026-05-15 12:00:00,2026-05-15 12:00:00,2026-05-16 04:00:00,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,service_management,job-corporat-29,ec51bbaf357423b6aed26c9843beef6a,Security,change_request,"business_service=Corporate VPN,risk=High,type=Emergency",Closed,CHG0030001,success,Rowan Diaz,Rowan Diaz,job-corporat-29,job-corporat-29,informational,CHG0030001,change_request,Closed
b408a505c3ec96dbd6ca81cdf3d827ba,CHG0030002,Normal,Review,Approved,Moderate,1 - High,1 - High,Software,Database Services,Kai Lewis,Casey Morris,Casey Morris,Card Processing,app-card-pro-32,Apply SQL cumulative update to card processing database cluster,Monthly database patching for PCI-scoped payment databases with application team validation.,Demo change record created to support Splunk Enterprise Security storytelling.,"Validate pre-checks, implement approved change, monitor service health, and document results.",Restore previous configuration or package version and notify the service owner.,"Confirm service availability, authentication flow, and alert telemetry after implementation.",2026-05-22 14:00:00,2026-05-22 17:00:00,,,,,prod,,,2026-05-22 08:00:00,2026-05-22 08:00:00,2026-05-22 10:00:00,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,service_management,app-card-pro-32,b408a505c3ec96dbd6ca81cdf3d827ba,Software,change_request,"business_service=Card Processing,risk=Moderate,type=Normal",Review,CHG0030002,success,Casey Morris,Casey Morris,app-card-pro-32,app-card-pro-32,high,CHG0030002,change_request,Review
008d5a24710c3aa60f699757a7320f9a,CHG0030003,Emergency,Closed,Approved,High,1 - High,1 - High,Network,Network Operations,Quinn Walker,Reese Jensen,Reese Jensen,Online Banking,web-online-b-24,Disable vulnerable edge WAF rule package and deploy vendor hotfix,Emergency remediation after exploit traffic was observed against the online banking perimeter.,Demo change record created to support Splunk Enterprise Security storytelling.,"Validate pre-checks, implement approved change, monitor service health, and document results.",Restore previous configuration or package version and notify the service owner.,"Confirm service availability, authentication flow, and alert telemetry after implementation.",2026-05-23 01:00:00,2026-05-23 05:00:00,2026-05-23 01:00:00,2026-05-23 05:00:00,Unsuccessful,Change completed and monitoring returned to normal.,prod,NE-2026-05-20-0014,ESCU - Web Exploit Attempt Against Internet Facing Server,2026-05-22 16:00:00,2026-05-22 16:00:00,2026-05-23 08:00:00,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,service_management,web-online-b-24,008d5a24710c3aa60f699757a7320f9a,Network,change_request,"business_service=Online Banking,risk=High,type=Emergency",Closed,CHG0030003,failure,Reese Jensen,Reese Jensen,web-online-b-24,web-online-b-24,high,CHG0030003,change_request,Closed
dbb1a80d62b7e967aebbe8e2f3bec4f7,CHG0030004,Standard,Closed,Approved,Moderate,3 - Low,3 - Low,Hardware,Endpoint Engineering,Taylor Morris,Kai Ortiz,Kai Ortiz,Security Monitoring,edr-mgmt-01,Modify load balancer pool for Security Monitoring,Generated demo change for Security Monitoring affecting edr-mgmt-01.,Demo change record created to support Splunk Enterprise Security storytelling.,"Validate pre-checks, implement approved change, monitor service health, and document results.",Restore previous configuration or package version and notify the service owner.,"Confirm service availability, authentication flow, and alert telemetry after implementation.",2026-04-19 07:32:42,2026-04-19 09:32:42,2026-04-19 07:32:42,2026-04-19 09:32:42,Successful with Issues,Change completed and monitoring returned to normal.,dev,,,2026-04-17 01:32:42,2026-04-17 01:32:42,2026-04-19 12:32:42,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,service_management,edr-mgmt-01,dbb1a80d62b7e967aebbe8e2f3bec4f7,Hardware,change_request,"business_service=Security Monitoring,risk=Moderate,type=Standard",Closed,CHG0030004,success,Kai Ortiz,Kai Ortiz,edr-mgmt-01,edr-mgmt-01,low,CHG0030004,change_request,Closed
f2e0a983d1f7c0c7c012df1e0011fb13,CHG0030005,Normal,Closed,Approved,High,1 - High,1 - High,Network,Endpoint Engineering,Drew Walker,Sydney Kim,Sydney Kim,Customer Identity,job-customer-26,Increase database storage for job-customer-26,Generated demo change for Customer Identity affecting job-customer-26.,Demo change record created to support Splunk Enterprise Security storytelling.,"Validate pre-checks, implement approved change, monitor service health, and document results.",Restore previous configuration or package version and notify the service owner.,"Confirm service availability, authentication flow, and alert telemetry after implementation.",2026-04-16 23:57:38,2026-04-17 05:57:38,2026-04-16 23:57:38,2026-04-17 05:57:38,Successful,Change completed and monitoring returned to normal.,stage,,,2026-04-14 09:57:38,2026-04-14 09:57:38,2026-04-17 06:57:38,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,service_management,job-customer-26,f2e0a983d1f7c0c7c012df1e0011fb13,Network,change_request,"business_service=Customer Identity,risk=High,type=Normal",Closed,CHG0030005,success,Sydney Kim,Sydney Kim,job-customer-26,job-customer-26,high,CHG0030005,change_request,Closed
4f4ba1f898b220c12f93bb8d550cf60b,CHG0030006,Normal,Closed,Approved,Low,2 - Medium,2 - Medium,Cloud,Identity and Access,Drew Walker,Kai Lewis,Kai Lewis,Security Monitoring,db-security-08,Add monitoring for db-security-08,Generated demo change for Security Monitoring affecting db-security-08.,Demo change record created to support Splunk Enterprise Security storytelling.,"Validate pre-checks, implement approved change, monitor service health, and document results.",Restore previous configuration or package version and notify the service owner.,"Confirm service availability, authentication flow, and alert telemetry after implementation.",2026-03-08 21:24:48,2026-03-09 05:24:48,2026-03-08 21:24:48,2026-03-09 05:24:48,Successful,Change completed and monitoring returned to normal.,prod,,,2026-03-06 08:24:48,2026-03-06 08:24:48,2026-03-09 10:24:48,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,service_management,db-security-08,4f4ba1f898b220c12f93bb8d550cf60b,Cloud,change_request,"business_service=Security Monitoring,risk=Low,type=Normal",Closed,CHG0030006,success,Kai Lewis,Kai Lewis,db-security-08,db-security-08,informational,CHG0030006,change_request,Closed
f1fda27200dce358e86631ed1b8558ac,CHG0030007,Emergency,Closed,Approved,High,1 - High,1 - High,Application,Service Desk,Jamie Kim,Kai Vasquez,Kai Vasquez,Email and Collaboration,app-email-an-28,Add monitoring for app-email-an-28,Generated demo change for Email and Collaboration affecting app-email-an-28.,Demo change record created to support Splunk Enterprise Security storytelling.,"Validate pre-checks, implement approved change, monitor service health, and document results.",Restore previous configuration or package version and notify the service owner.,"Confirm service availability, authentication flow, and alert telemetry after implementation.",2026-04-03 12:17:39,2026-04-03 16:17:39,2026-04-03 12:17:39,2026-04-03 16:17:39,Successful with Issues,Change completed and monitoring returned to normal.,prod,,,2026-04-03 01:17:39,2026-04-03 01:17:39,2026-04-04 00:17:39,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,service_management,app-email-an-28,f1fda27200dce358e86631ed1b8558ac,Application,change_request,"business_service=Email and Collaboration,risk=High,type=Emergency",Closed,CHG0030007,success,Kai Vasquez,Kai Vasquez,app-email-an-28,app-email-an-28,high,CHG0030007,change_request,Closed
02465c1bf1650a92182239317c958c51,CHG0030008,Emergency,Closed,Approved,High,3 - Low,3 - Low,Hardware,Service Desk,Kai Lewis,Alex Hughes,Alex Hughes,Claims Portal,web-claims-p-37,Modify load balancer pool for Claims Portal,Generated demo change for Claims Portal affecting web-claims-p-37.,Demo change record created to support Splunk Enterprise Security storytelling.,"Validate pre-checks, implement approved change, monitor service health, and document results.",Restore previous configuration or package version and notify the service owner.,"Confirm service availability, authentication flow, and alert telemetry after implementation.",2026-04-29 06:48:47,2026-04-29 09:48:47,2026-04-29 06:48:47,2026-04-29 09:48:47,Unsuccessful,Change completed and monitoring returned to normal.,prod,,,2026-04-27 14:48:47,2026-04-27 14:48:47,2026-04-29 13:48:47,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,service_management,web-claims-p-37,02465c1bf1650a92182239317c958c51,Hardware,change_request,"business_service=Claims Portal,risk=High,type=Emergency",Closed,CHG0030008,failure,Alex Hughes,Alex Hughes,web-claims-p-37,web-claims-p-37,low,CHG0030008,change_request,Closed
1eaea04cbfb45b4cfe06df1e012c6117,CHG0030009,Emergency,Closed,Approved,Low,2 - Medium,2 - Medium,Software,Endpoint Engineering,Emerson Ibrahim,Kai Lewis,Kai Lewis,Email and Collaboration,app-email-an-19,Update firewall policy for Email and Collaboration,Generated demo change for Email and Collaboration affecting app-email-an-19.,Demo change record created to support Splunk Enterprise Security storytelling.,"Validate pre-checks, implement approved change, monitor service health, and document results.",Restore previous configuration or package version and notify the service owner.,"Confirm service availability, authentication flow, and alert telemetry after implementation.",2026-04-19 18:23:05,2026-04-19 23:23:05,2026-04-19 18:23:05,2026-04-19 23:23:05,Unsuccessful,Change completed and monitoring returned to normal.,prod,,,2026-04-18 12:23:05,2026-04-18 12:23:05,2026-04-20 02:23:05,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,service_management,app-email-an-19,1eaea04cbfb45b4cfe06df1e012c6117,Software,change_request,"business_service=Email and Collaboration,risk=Low,type=Emergency",Closed,CHG0030009,failure,Kai Lewis,Kai Lewis,app-email-an-19,app-email-an-19,informational,CHG0030009,change_request,Closed
409359a6ef5506fd1cb9385d77cde9b4,CHG0030010,Normal,Cancelled,Rejected,Low,2 - Medium,2 - Medium,Software,Application Support,Casey Evans,Jamie Hughes,Jamie Hughes,Online Banking,web-online-b-24,Rotate service certificate for Online Banking,Generated demo change for Online Banking affecting web-online-b-24.,Demo change record created to support Splunk Enterprise Security storytelling.,"Validate pre-checks, implement approved change, monitor service health, and document results.",Restore previous configuration or package version and notify the service owner.,"Confirm service availability, authentication flow, and alert telemetry after implementation.",2026-05-03 17:06:21,2026-05-03 23:06:21,2026-05-03 17:06:21,2026-05-03 23:06:21,Unsuccessful,Change completed and monitoring returned to normal.,prod,,,2026-04-30 23:06:21,2026-04-30 23:06:21,2026-05-04 10:06:21,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,service_management,web-online-b-24,409359a6ef5506fd1cb9385d77cde9b4,Software,change_request,"business_service=Online Banking,risk=Low,type=Normal",Cancelled,CHG0030010,failure,Jamie Hughes,Jamie Hughes,web-online-b-24,web-online-b-24,informational,CHG0030010,change_request,Cancelled
